"WaterbodyID","Year","doy","CenterLatitude","Temperature","pH","lwTN","lwTP","pa"
1742,1973,220,39.715,27.8285714285714,8.09285714285714,4.04357744516845,1.14488206163128,0
1742,1973,290,39.715,19.3769230769231,8.46923076923077,3.22427659901213,1.07848782789679,0
1748,1973,130,40.1658335,17.32,8.2,4.72621899431023,1.06526209531132,0
1748,1973,219,40.1658335,24.5666666666667,8.025,4.40976338964548,1.39376618365088,0
1748,1973,289,40.1658335,18.325,8.06666666666667,3.35037181413065,1.29125081243299,0
1750,1973,128,42.387222,14.65,8.1,3.79357725022166,2.08691355651854,0
1750,1973,218,42.387222,26.275,8.5,3.7582889054861,2.93311191157232,0
1750,1973,288,42.387222,14.825,8.725,3.51139617396023,2.57419494651625,1
1751,1973,131,40.988889,16.2833333333333,8.18333333333333,4.0891086565379,1.09750038740161,1
1751,1973,220,40.988889,24.9625,8.13333333333333,3.93287083794098,0.487045095100587,0
1751,1973,289,40.988889,17.7285714285714,7.98571428571429,3.77826301524862,1.35340215210323,1
1752,1973,218,41.310556,30.5,8.3,4.32915314506681,3.46354600672669,0
1752,1973,288,41.310556,17.5,8.1,4.07414185490458,2.73883802125453,0
1753,1973,126,39.62013875,17.7714285714286,8.02142857142857,4.21552921322681,1.25677531641416,0
1753,1973,221,39.62013875,29.3714285714286,8.28571428571429,3.64466629943761,0.32971476235595,0
1753,1973,290,39.62013875,20.5538461538462,8.03846153846154,2.48465020665286,0.368162554110787,0
1754,1973,128,41.617083,14.95,8.05,4.99233553692482,1.70096823027969,1
1754,1973,218,41.617083,26.88,8.48,4.22091847427912,1.75627045129775,1
1754,1973,288,41.617083,16.9666666666667,8.6,2.88069546356563,1.67759487909438,0
1755,1973,128,42.4108335,14.325,8.425,2.83995527198215,1.4571022511304,1
1755,1973,218,42.4108335,24.95,8.65,3.78407599109752,2.27083639467947,1
1755,1973,288,42.4108335,15.65,NA,NA,NA,1
1756,1973,128,42.441111,14.1,8.05,3.27563415868681,1.37826218942263,0
1756,1973,218,42.441111,26.5,8.925,3.60983624677348,2.25063368736195,1
1756,1973,288,42.441111,12.6,8.36666666666667,3.63600596450687,2.37651685914821,0
1757,1973,218,42.455,25.025,8.55,3.13375357145137,0.477475644084436,0
1757,1973,288,42.455,16,8.6,3.0174937653355,0.995964140595996,1
1758,1973,218,42.259444,25.2,9.35,4.49925396039654,3.30899071431046,1
1758,1973,288,42.259444,16.4,9.2,4.43746134156198,3.71916614671881,1
1759,1973,218,42.421389,25.225,8.86666666666667,3.12968024606373,-0.295714244149045,1
1759,1973,288,42.421389,15.2,8.4,2.93545134266906,0.501229730092544,1
1761,1973,220,40.533889,27.65,8.3,3.54932998916385,-0.000250031255209283,1
1761,1973,289,40.533889,18.3428571428571,7.68571428571429,3.44361809754611,1.16373099860646,1
1762,1973,130,38.542361,18.675,7.65,2.81090758654192,1.14629072398485,0
1762,1973,219,38.542361,27.94,7.5,3.26713251343149,1.23215201459124,0
1762,1973,291,38.542361,17.35,7.425,2.75461567024953,1.50640801211456,0
1763,1973,126,38.2201385,19,8.46,2.22050698195844,-0.0659261501161668,0
1763,1973,221,38.2201385,33.2,8.7,2.80457176809283,0.31042155942127,0
1763,1973,289,38.2201385,21.82,8.24,2.53147211893532,0.323965784529028,0
1764,1973,130,39.0138886666667,17.2444444444444,7.56666666666667,3.15387497465078,1.44783359722887,0
1764,1973,221,39.0138886666667,27.9333333333333,7.95,2.7946355614337,0.83926568868994,0
1764,1973,290,39.0138886666667,18.4625,7.7,3.12916991178371,1.68958830661693,1
1765,1973,219,38.104167,28.75,7.95,3.17262244035074,3.38898983855441,0
1765,1973,290,38.104167,17.75,8,3.23514279733207,3.36141651165031,0
1766,1973,126,38.692361,15.9,8.55,4.43746134156198,1.26242993530092,1
1766,1973,221,38.692361,28.3,9.35,4.15473386223488,2.07043233033475,1
1766,1973,289,38.692361,17.35,8.9,3.97537332092891,1.11119940417358,1
1805,1973,129,39.4646293333333,16.1461538461538,7.93076923076923,3.84778802796012,0.590645689378516,0
1805,1973,219,39.4646293333333,27,8.43333333333333,3.49630552085563,0.798257664962563,1
1805,1973,282,39.4646293333333,22.2181818181818,7.83636363636364,3.22785358571873,1.05883141865627,1
1811,1973,129,39.921806,17.3,8.28571428571429,3.84545576115603,0.671631658525393,0
1811,1973,213,39.921806,25.92,8.36,3.45442214289945,1.1050581361515,1
1811,1973,287,39.921806,20.2714285714286,8.34285714285714,2.76631910922619,1.11556275718555,1
1817,1973,215,41.317222,18.84,7.86,2.82137888640921,-0.0527680655386557,1
1817,1973,285,41.317222,19.6666666666667,8.33333333333333,2.57006445812831,-0.215671536475509,1
1827,1973,122,40.6880556666667,14.54,8.03,3.73098063013257,1.36568340721577,0
1827,1973,214,40.6880556666667,24.1,7.90769230769231,3.97203205320237,1.03370446857884,0
1827,1973,287,40.6880556666667,20.0428571428571,7.86428571428571,3.53863779078339,1.28534862762123,0
1828,1973,129,39.0554166666667,15.8222222222222,7.5962962962963,2.17525664449413,-0.591660826450717,0
1828,1973,217,39.0554166666667,26.9928571428571,7.67142857142857,2.21156569460688,-0.0490401954246417,1
1828,1973,282,39.0554166666667,22.0631578947368,6.98421052631579,2.49128974320456,0.181663445549406,1
1829,1973,129,40.1019443333333,16.5636363636364,8.41818181818182,4.5058118233372,1.10375058016059,0
1829,1973,213,40.1019443333333,25.9714285714286,8.8,4.18722755636881,0.860717615407891,0
1829,1973,287,40.1019443333333,20.16,8.13,3.54165473435741,1.1686978962348,1
1836,1973,122,41.3968055,13.275,8.3,2.74116255255241,-1.51015834834228,0
1836,1973,215,41.3968055,24.2285714285714,8.51428571428571,2.507971922719,-0.977026967061991,1
1836,1973,287,41.3968055,17.775,8.1375,2.60213397551066,-0.978498637673444,1
1846,1973,217,41.563611,24.9,8.4,3.15487049489229,-1.27654349716077,1
1846,1973,283,41.563611,19.4,8.45,2.97909463240097,-0.948039430188735,1
1847,1973,217,41.571389,24.2,8.3,2.88591740754678,-1.27654349716077,1
1847,1973,283,41.571389,19.2,8.45,2.69259809654329,-0.765717873394781,1
1848,1973,129,41.491528,16.3666666666667,8.63333333333333,2.9731457748812,1.63620966293153,0
1848,1973,214,41.491528,24.5,8.35,3.52557590315574,1.53129617454981,1
1848,1973,284,41.491528,18.8,8.42,3.61738345240887,1.7433392366255,1
1849,1973,222,37.820833,30.1,8,3.96081316959758,3.29242364016336,1
1849,1973,291,37.820833,19,8.6,4.3492451451495,3.08016532952882,1
1850,1973,118,39.081389,13.9571428571429,7.92857142857143,3.35340671782581,1.79629677909916,0
1850,1973,213,39.081389,24.36,7.94,3.39141636980705,1.30030064795291,1
1850,1973,282,39.081389,21.72,7.68,3.1349723406455,1.20650958397791,0
1851,1973,121,41.225926,16.3285714285714,8.12857142857143,3.62060061336064,1.26992104562666,1
1851,1973,214,41.225926,24.0666666666667,8.68333333333333,3.01406323023871,0.109750863959119,1
1851,1973,285,41.225926,20.1166666666667,8.58333333333333,3.27032910645712,0.194057970419114,1
1852,1973,121,41.6764816666667,13.86,8.42,2.55131841530725,-0.572346480414241,1
1852,1973,215,41.6764816666667,24.32,8.175,2.72293881359596,-0.465613280944443,1
1852,1973,287,41.6764816666667,17.56,8.175,2.60083611679506,-0.542574322080571,1
1853,1973,121,41.702963,12.8083333333333,8.29166666666667,2.36352339109913,-0.727566107430407,1
1853,1973,215,41.702963,24.8666666666667,8.25555555555556,2.4620549342989,-0.751011726005087,1
1853,1973,286,41.702963,17.75,8.33333333333333,2.39059597031676,-0.690816565221661,1
1854,1973,217,41.5825,21.9,7.95,3.68462039719355,1.07483176000271,1
1854,1973,285,41.5825,14.9,7.7,4.01681535971286,2.53356982176728,0
1855,1973,122,41.6391665,10.925,7.775,4.04699086583863,0.0151348875842701,0
1855,1973,217,41.6391665,21.025,8.2,3.93560931523429,0.664061599664849,1
1855,1973,287,41.6391665,16.15,7.975,3.11529150861163,0.734648200490258,1
1856,1973,217,41.72,24.85,8.25,2.98971420122843,0.932950563010979,1
1856,1973,287,41.72,13.1,7.75,4.00960333376701,2.24818170411466,1
1857,1973,122,41.546389,11.9666666666667,8.10833333333333,2.94101206135376,-0.0237805286654034,1
1857,1973,215,41.546389,24.4666666666667,8.35,2.81720351499873,-0.000250031255209283,1
1857,1973,285,41.546389,18.16,8.2,2.54694204070745,-0.085993713166976,1
1901,1974,106,41.291667,11.29,NA,2.95386806945529,0.3974329364109,1
1901,1974,182,41.291667,25.9,7.83333333333333,NA,NA,1
1901,1974,267,41.291667,17.0333333333333,7.39666666666667,2.51877116374076,0.755495320187469,1
1902,1974,107,42.09,9.78,8.43333333333333,4.64743913316726,0.847047496906025,0
1902,1974,189,42.09,25.1166666666667,8.31666666666667,NA,NA,0
1902,1974,267,42.09,17.425,7.81625,4.50797072261096,-0.132674616904541,1
1903,1974,108,42.295,12.55,8.6,3.99231183665695,1.62914249570844,0
1903,1974,183,42.295,24.875,8.9,NA,NA,1
1903,1974,267,42.295,14.9,8.1825,3.15785112303043,1.77981339820965,1
1904,1974,107,43.124074,9.36833333333333,8.375,3.11321896900966,0.100448471296807,0
1904,1974,183,43.124074,23.685,8.63333333333333,NA,NA,1
1904,1974,265,43.124074,14.5685714285714,8.42714285714286,2.82849635417808,0.882940385892167,0
1905,1974,107,41.196528,12.25,8,3.87336533373727,0.975917208650706,0
1905,1974,266,41.196528,17.366,8.254,2.73072451814108,0.84104927572394,1
1906,1974,265,43.1604165,13.865,8.785,3.60223164738826,1.53519916249857,1
1907,1974,107,41.7977776666667,10.21,8.115,3.81308625756812,0.64037911502129,1
1907,1974,183,41.7977776666667,21.4818181818182,8.02727272727273,NA,NA,1
1907,1974,266,41.7977776666667,16.968,8.032,3.17320877868475,0.718912237388559,0
1908,1974,106,41.6,10.3285714285714,NA,2.98971420122843,0.291300517974493,0
1908,1974,182,41.6,23.8285714285714,8.25714285714286,NA,NA,1
1908,1974,267,41.6,16.01,7.85285714285714,2.598235335095,0.87558759338548,1
1909,1974,108,40.8604628333333,10.6363636363636,8.49772727272727,3.28782505903942,0.973152025416624,0
1909,1974,183,40.8604628333333,23.2733333333333,7.84666666666667,NA,NA,0
1909,1974,266,40.8604628333333,17.5818181818182,7.20863636363636,3.15785112303043,0.499093433616761,0
1910,1974,107,41.39090275,11.875,8.33125,4.90471906850471,1.79923148406676,0
1910,1974,188,41.39090275,23.75625,8.0375,NA,NA,1
1910,1974,266,41.39090275,16.8888888888889,7.55333333333333,3.54057277590726,1.97201098372751,0
1911,1974,108,41.7579165,12.008,8.67,3.78772881815611,0.706754183966162,1
1911,1974,183,41.7579165,24.1,7.86,NA,NA,0
1911,1974,266,41.7579165,16.046,7.932,3.10530390998328,0.727934706644367,1
1912,1974,183,43.483333,23.755,8.95,NA,NA,1
1912,1974,265,43.483333,13,9.475,4.11838655670234,1.79150943797285,1
1913,1974,112,43.4762963333333,8.64444444444444,8.4,2.7004659577439,0.128100002627317,1
1913,1974,189,43.4762963333333,24.5666666666667,8.63333333333333,NA,NA,1
1913,1974,265,43.4762963333333,15.3111111111111,8.37777777777778,2.90056652776302,0.32296877547336,1
1914,1974,106,40.966667,10.7075,NA,2.57718192589717,-0.000250031255209283,1
1914,1974,182,40.966667,23.3,8.26,NA,NA,1
1914,1974,267,40.966667,17.546,8.002,2.83954619036466,0.91324610168793,1
